CensusTract,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,ToxRelease,Traffic,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Education,LinguisticIsolation,Poverty,Unemployment,Asthma
0,49.39635614091387,34.48275862068965,2258.291478047609,-0.45728485683796083,4.685920335673201,88.19,8.30657853831643,7.41362019274712,3.9698163199918364,1.4362598972740228,2.000312426784504,0.26716584257263243,2.492566915210829,4.428317965096906,4.041295341132285,3.5777087639996634,113.3
1,83.98809439438426,34.48275862068965,2049.281983302906,-1.1363141558521213,4.685920335673201,93.79,9.20554959005069,6.5825508715853,2.899814447730065,1.282181684884624,1.968317587576279,0.3832008326196737,2.584245178543553,3.4510867853474796,4.198704577546343,3.3015148038438356,194.4
2,62.48199740725323,34.48275862068965,1950.0963812024293,-0.5762534290884459,4.685920335673201,91.71,9.050009629325448,7.448515303958111,3.1627518951278724,0.8947853200770761,1.968317587576279,0.52999894000318,2.3931419567820336,4.290687590584987,3.728100167267218,2.8284271247461903,173.63
3,59.95831885568507,29.41176470588235,2269.4570633597205,-0.8891620644859025,5.6950780340260545,74.87,9.753348654019023,6.939690592945434,2.62194410636819,1.3872638167626057,1.9346817450016374,0.426014322842305,2.1533251607102564,3.5791060336346563,3.754198920234579,3.3015148038438356,199.35
5,75.75618786607468,33.333333333333336,2313.687486377657,-1.6194882482876019,4.685920335673201,71.89,13.600619940021762,6.389505598646596,2.503154026249327,0.5112717754136812,1.861597349115187,0.28559773898876994,2.621111522794684,5.386093203798093,3.86702563949741,2.3874672772626644,142.68
6,83.90470785361212,33.333333333333336,2193.4499278270005,-0.016129381929883644,4.685920335673201,74.99,17.061301230399604,6.011439858267955,2.115006820147162,0.6148979855868117,1.8215740458755476,10.0,2.505382591659423,3.925557285278104,3.8607297110405954,4.219004621945797,156.3
7,75.18643494673756,33.333333333333336,2214.7446544176482,-0.10314075891951337,4.685920335673201,81.85,17.145948341781274,6.137398179494555,2.365488096231962,0.5367824385037808,1.8215740458755476,10.0,2.519569030457699,4.112177038990418,4.056988775678332,3.082207001484488,157.78
8,82.64986388373546,33.333333333333336,2179.206247513096,0.01980262729617973,4.685920335673201,87.19,15.952755480874579,6.617457603487824,2.3424896941774533,0.6550886012005357,1.7787238132749206,10.0,2.4305600579078006,3.5369478367654787,4.048300623720694,3.0659419433511785,133.4
9,64.64518543557594,35.714285714285715,2019.4515845462056,0.11332868530700327,5.552843299090915,87.2,7.7075468163416145,5.876713647253149,3.190438801180558,0.8933570867618514,1.7787238132749206,0.19458788576341685,2.3044234027063477,3.2878564445547194,3.58351893845611,3.391164991562634,123.98
10,88.3685464404615,34.48275862068965,2171.5221917359277,-0.5673959752543851,4.685920335673201,68.16,12.783789488691847,7.651516375379279,2.4664923413021276,1.4004147069285728,1.968317587576279,10.0,2.0959905837807953,2.9342801502242417,3.8543938925915096,3.6193922141707713,154.52
11,54.48853090330111,37.03703703703704,2975.940566992735,0.16126814759612232,4.685920335673201,38.95,8.718122518333962,7.009370375506419,3.5474098964443757,0.7797550258321402,1.8215740458755476,0.9950371902099892,2.5226892457611436,7.918964578781749,4.048300623720694,2.932575659723036,124.65
13,50.269274910227224,37.03703703703704,2860.52134455337,-0.27971390280260405,4.685920335673201,83.88,8.857630877212937,6.946224169202755,3.518497163953266,1.016944138087259,1.7787238132749206,0.9950371902099892,1.9809804072907224,3.7296112397943033,3.9259259105971376,2.6267851073127395,152.43
15,52.640288753007425,29.41176470588235,2264.6435382649697,-1.2310014767138553,5.6950780340260545,68.51,9.599455073958923,5.8114543331021125,2.8701425279326442,1.1921988546536197,1.496095895509355,0.9950371902099892,2.101399636709763,2.4919871588754225,4.283586561860629,4.415880433163924,199.35
16,78.14089838234521,23.809523809523807,1931.350661049275,-1.6347557204183902,5.474453164254905,80.06,13.325077548720477,6.482352652064342,2.6854787083201974,0.972065420906982,2.000312426784504,2.1821789023599236,2.1226285898450357,3.606937759374287,3.906004933102583,4.03732584763727,162.41
17,65.36053855347276,34.48275862068965,1793.873494006929,-0.5481814103097596,4.685920335673201,92.49,9.02717304538044,5.989438317189924,2.6989311848562805,0.8744821970182541,1.0024906793143211,0.9950371902099892,2.5622371133187385,4.0877866871939394,4.131961425793407,3.082207001484488,194.4
